track_id,fase,inicio,fim
19790256,mature,1979-04-08 06:00:00,1979-04-09 12:00:00
19790256,decay,1979-04-09 15:00:00,1979-04-13 21:00:00
19790257,incipient,1979-04-03 18:00:00,1979-04-04 00:00:00
19790257,decay,1979-04-04 03:00:00,1979-04-05 12:00:00
19790257,intensification,1979-04-05 15:00:00,1979-04-05 21:00:00
19790273,incipient,1979-04-09 12:00:00,1979-04-09 12:00:00
19790273,intensification,1979-04-09 15:00:00,1979-04-13 09:00:00
19790273,mature,1979-04-13 12:00:00,1979-04-14 03:00:00
19790273,decay,1979-04-14 06:00:00,1979-04-15 06:00:00
19790293,intensification,1979-04-16 12:00:00,1979-04-17 00:00:00
19790293,decay,1979-04-17 03:00:00,1979-04-17 21:00:00
19790300,incipient,1979-04-18 12:00:00,1979-04-18 18:00:00
19790300,intensification,1979-04-18 21:00:00,1979-04-19 18:00:00
19790300,mature,1979-04-19 21:00:00,1979-04-20 00:00:00
19790300,decay,1979-04-20 03:00:00,1979-04-20 03:00:00
19790304,incipient,1979-04-19 06:00:00,1979-04-19 15:00:00
19790304,intensification,1979-04-19 18:00:00,1979-04-21 06:00:00
19790304,mature,1979-04-21 09:00:00,1979-04-21 21:00:00
19790304,decay,1979-04-22 00:00:00,1979-04-24 03:00:00
19790317,decay,1979-04-22 00:00:00,1979-04-22 15:00:00
19790317,intensification,1979-04-22 18:00:00,1979-04-22 18:00:00
19790317,decay 2,1979-04-22 21:00:00,1979-04-23 03:00:00
19790322,incipient,1979-04-23 12:00:00,1979-04-23 21:00:00
19790322,intensification,1979-04-24 00:00:00,1979-04-30 00:00:00
19790322,mature,1979-04-30 03:00:00,1979-05-01 03:00:00
19790322,decay,1979-05-01 06:00:00,1979-05-03 09:00:00
19790336,intensification,1979-04-28 06:00:00,1979-04-28 15:00:00
19790336,mature,1979-04-28 18:00:00,1979-04-28 21:00:00
19790336,decay,1979-04-29 00:00:00,1979-04-30 06:00:00
19790339,incipient,1979-04-28 09:00:00,1979-04-28 21:00:00
19790339,intensification,1979-04-29 00:00:00,1979-04-30 21:00:00
19790339,mature,1979-05-01 00:00:00,1979-05-01 15:00:00
19790339,decay,1979-05-01 18:00:00,1979-05-04 09:00:00
