Latitude,Longitude,Limiar_Mediana_ms,Limiar_Q90_ms,Limiar_Q95_ms,Limiar_Q99_ms,Limiar_Maximo_ms
-53.0,-22.5,10.864342,15.428158,16.65553,19.00803,23.611284
-53.0,-22.25,10.870594,15.455865,16.648663,19.011915,23.80783
-53.0,-22.0,10.91394,15.475437,16.714289,19.05299,23.955988
-53.0,-21.75,10.916887,15.463797,16.684828,19.030258,24.029062
-53.0,-21.5,10.934404,15.471692,16.683985,19.130268,24.01014
-53.0,-21.25,10.948151,15.487508,16.713943,19.16688,23.832975
-53.0,-21.0,10.930237,15.493427,16.73342,19.132198,23.79634
-53.0,-20.75,10.962275,15.524893,16.759037,19.078959,24.21532
-53.0,-20.5,10.953537,15.529213,16.74791,19.02912,24.46654
-53.0,-20.25,10.945486,15.536274,16.733437,19.029411,24.800407
-53.0,-20.0,10.918392,15.521108,16.733757,19.04057,22.647614
-53.0,-19.75,10.929596,15.506628,16.736261,19.083519,22.691147
-53.0,-19.5,10.93182,15.464154,16.658594,19.161379,22.99869
-53.0,-19.25,10.932224,15.522677,16.642714,19.168362,22.967552
-53.0,-19.0,10.950738,15.495906,16.676908,19.029552,23.45811
-53.0,-18.75,10.964488,15.485486,16.711685,18.992867,23.355795
-53.0,-18.5,10.9773655,15.499153,16.763418,19.055841,23.609549
-53.0,-18.25,10.979174,15.504173,16.758665,19.089493,23.496468
-53.0,-18.0,10.985497,15.516287,16.825363,19.123722,23.295074
-53.0,-17.75,11.014872,15.561343,16.778625,19.07228,23.645954
-53.0,-17.5,11.028668,15.609065,16.790432,19.077454,23.99943
-53.0,-17.25,11.022949,15.614191,16.82688,19.05493,24.109892
-53.0,-17.0,11.0168705,15.580585,16.808662,19.041553,24.167305
-53.0,-16.75,11.015152,15.579211,16.85533,19.059488,24.164349
-53.0,-16.5,10.998867,15.540876,16.849121,19.012407,24.254845
-53.0,-16.25,11.003788,15.563083,16.85055,18.935879,24.188475
-53.0,-16.0,10.983962,15.543746,16.80497,18.934444,24.690182
-53.0,-15.75,10.981009,15.581504,16.793543,19.033895,25.319359
-53.0,-15.5,10.968852,15.569771,16.764769,19.00453,23.044846
-53.0,-15.25,10.971973,15.563504,16.819847,19.026102,22.099901
-53.0,-15.0,10.9571,15.523472,16.799604,19.033533,21.921705
-53.25,-85.0,11.00957,15.555287,16.719664,18.871597,23.048765
-53.25,-84.75,11.014271,15.563934,16.686176,18.789143,22.82949
-53.25,-84.5,10.996784,15.560599,16.675179,18.750393,23.483566
-53.25,-84.25,11.012598,15.56593,16.7019,18.797747,24.12704
-53.25,-84.0,11.022669,15.573772,16.708017,18.763868,24.662651
-53.25,-83.75,11.02323,15.560341,16.794516,18.791922,24.796593
-53.25,-83.5,10.999533,15.537166,16.730553,18.855104,23.962723
-53.25,-83.25,11.022973,15.574492,16.777557,18.881134,23.762632
-53.25,-83.0,10.998844,15.606378,16.732885,18.855688,23.350094
-53.25,-82.75,10.979886,15.649055,16.708008,18.964111,22.970245
-53.25,-82.5,10.978622,15.654687,16.754549,18.910585,22.658989
-53.25,-82.25,10.973831,15.611346,16.687214,18.965544,22.329401
-53.25,-82.0,10.910396,15.559224,16.626379,18.901663,21.932894
-53.25,-81.75,10.907009,15.549206,16.651756,18.92951,22.230103
-53.25,-81.5,10.946754,15.628979,16.69887,19.101902,23.24242
-53.25,-81.25,10.93136,15.564983,16.651522,19.081594,23.781063
-53.25,-81.0,10.927856,15.535207,16.632587,18.968912,24.204426
-53.25,-80.75,10.95314,15.563806,16.652796,18.977997,24.252089
-53.25,-80.5,10.965579,15.568248,16.69547,19.017628,24.24585
-53.25,-80.25,10.944677,15.572439,16.686617,19.039978,23.98237
-53.25,-80.0,10.944313,15.589624,16.691631,19.11229,23.66012
-53.25,-79.75,10.941066,15.599636,16.700253,19.009247,24.2203
-53.25,-79.5,10.974461,15.595658,16.739077,19.013653,24.379377
-53.25,-79.25,11.004566,15.652312,16.817595,19.047699,24.307755
-53.25,-79.0,10.995609,15.651314,16.839159,18.989616,23.964212
-53.25,-78.75,11.005002,15.652287,16.806509,18.998419,23.55559
-53.25,-78.5,11.055506,15.699493,16.81048,18.92033,23.367321
-53.25,-78.25,11.121643,15.755726,16.868288,19.056894,23.481089
-53.25,-78.0,11.106344,15.796421,16.843512,19.038069,23.918911
-53.25,-77.75,11.110775,15.846847,16.920649,19.078121,24.45841
-53.25,-77.5,11.202325,15.926256,17.015512,19.172043,25.15172
-53.25,-77.25,11.2193775,16.001583,17.09085,19.220472,25.58638
-53.25,-77.0,11.220707,16.060596,17.158756,19.230656,25.891485
-53.25,-76.75,11.26593,16.126532,17.280783,19.311007,25.611748
-53.25,-76.5,11.369545,16.254688,17.398327,19.460888,25.546564
-53.25,-76.25,11.354063,16.214855,17.387959,19.352222,24.714695
-53.25,-76.0,11.369183,16.203506,17.389277,19.36779,23.998343
-53.25,-75.75,11.450774,16.275686,17.497433,19.495544,23.8996
-53.25,-75.5,11.476642,16.340075,17.54048,19.553411,23.709005
-53.25,-75.25,11.456591,16.286665,17.48437,19.489628,23.51048
-53.25,-75.0,11.585156,16.401596,17.653452,19.607166,24.14407
-53.25,-74.75,11.765175,16.668982,17.892796,19.853369,24.676798
-53.25,-74.5,11.76151,16.631786,17.770308,19.821398,24.744741
-53.25,-74.25,11.73425,16.532322,17.588596,19.754559,24.884558
-53.25,-74.0,11.864595,16.756258,17.943375,20.254314,25.569033
-53.25,-73.75,11.710767,16.554611,17.749136,19.968412,25.90814
