track_id,time,phase,east_km,north_km,fwd_km,left_km,wind_speed_ms,exceed_15_6,exceed_20_0,exceed_25_0,exceed_q90,exceed_q95,exceed_q99
20130009,2013-01-08 13:00:00,decay,226.71031787171916,302.95025551999964,159.22589212088386,-343.2543383956533,15.360816955566406,False,False,False,False,False,False
20130009,2013-01-08 14:00:00,decay,151.47042416534293,319.96562884000025,58.82074130785021,-349.0865414589922,15.360816955566406,False,False,False,False,False,False
20130009,2013-01-08 15:00:00,decay,598.9645528041953,149.0656063599999,504.28899232813046,-355.9096833918443,15.196111679077148,False,False,False,False,False,False
20130009,2013-01-08 16:00:00,decay,528.3236692726192,179.57140519999987,407.61788029245594,-381.0767019184872,15.196111679077148,False,False,False,False,False,False
20130016,2013-01-09 23:00:00,decay,-214.0286131315115,674.2438665599996,-182.47554377855425,-683.4586415837448,13.248584747314453,False,False,False,False,False,False
20130016,2013-01-10 00:00:00,decay,-294.104742968308,670.80975588,-265.3647297349453,-682.6894525572658,13.248584747314453,False,False,False,False,False,False
20130016,2013-01-10 01:00:00,decay,-338.7968712139307,669.3549147999998,-203.74563289438873,-722.0159548013663,13.248584747314453,False,False,False,False,False,False
20130016,2013-01-10 02:00:00,decay,-385.7195921191663,654.3234865200003,-160.30312974957147,-742.4430855956281,13.248584747314453,False,False,False,False,False,False
20130016,2013-01-10 03:00:00,decay,-267.24003522735916,338.4001095200003,-146.5048285325924,-405.54679849322457,14.734038352966309,False,False,False,False,False,False
20140006,2014-01-03 22:00:00,decay,-344.73581692582087,-747.2008794800003,-676.5025622875407,468.50423795905107,20.99320411682129,True,True,False,True,True,True
20140006,2014-01-03 23:00:00,decay,-404.1427584823462,-783.5845969600001,-628.5101293209981,618.3131950456726,20.99320411682129,True,True,False,True,True,True
20140006,2014-01-04 00:00:00,decay,-460.0798497960219,-786.8379239599998,-415.9982322243056,811.0073104209761,20.99320411682129,True,True,False,True,True,True
20140006,2014-01-04 01:00:00,decay,-516.7650548602703,-776.9902228000001,-514.0077211607284,778.8170458064504,20.99320411682129,True,True,False,True,True,True
20140006,2014-01-04 02:00:00,decay,-566.8075781486415,-786.4373946000002,-671.1070385550705,699.5498188648238,20.99320411682129,True,True,False,True,True,True
20140006,2014-01-04 03:00:00,decay,-357.0701535940101,-875.4517609199997,-570.5061856472416,753.9479905297272,22.190044403076172,True,True,False,True,True,True
20140006,2014-01-04 04:00:00,decay,-407.1645942484097,-898.27937408,-585.769630088489,793.4499235446578,22.190044403076172,True,True,False,True,True,True
20140006,2014-01-04 05:00:00,decay,-461.39072432239504,-899.0381312000001,-441.612870700913,908.9164066478455,22.190044403076172,True,True,False,True,True,True
