phase,quad_type,quadrante,nivel,taxa_contagem_media,taxa_acumulada_media,n_ciclones
intensification,fixed,NE,25_0,0.0,0.0,20
intensification,fixed,NE,q90,0.7645833333333333,11.233897215400802,20
intensification,fixed,NE,q95,0.6168522408963585,8.846952617732628,20
intensification,fixed,NE,q99,0.2793071594542183,4.154725125730623,20
intensification,fixed,NW,15_6,0.20173345642412582,3.5781720226335656,20
intensification,fixed,NW,20_0,0.02403846153846154,0.5289713639479416,20
intensification,fixed,NW,25_0,0.0,0.0,20
intensification,fixed,NW,q90,0.7195905302522949,9.759769993016771,20
intensification,fixed,NW,q95,0.5823027568615804,7.950190614725214,20
intensification,fixed,NW,q99,0.2924389911889912,4.107297258669555,20
intensification,fixed,SE,15_6,0.30896574014221073,5.3301581103487266,20
intensification,fixed,SE,20_0,0.025646551724137934,0.5346678557067082,20
intensification,fixed,SE,25_0,0.0,0.0,20
intensification,fixed,SE,q90,0.6674023199023199,10.189189354858764,20
intensification,fixed,SE,q95,0.5091941391941391,7.718415696337411,20
intensification,fixed,SE,q99,0.33406995230524644,4.934360320121447,20
intensification,fixed,SW,15_6,0.2353287685184237,4.006824137490553,20
intensification,fixed,SW,20_0,0.00673076923076923,0.14494032493004433,20
intensification,fixed,SW,25_0,0.0,0.0,20
intensification,fixed,SW,q90,0.6341689499777735,9.37127678112424,20
intensification,fixed,SW,q95,0.5021852015234368,7.371082380093755,20
intensification,fixed,SW,q99,0.26075791830102174,4.022591263230121,20
intensification,rotated,NE,15_6,0.26162737186063756,4.464727626622301,20
intensification,rotated,NE,20_0,0.01939655172413793,0.4067156495719121,20
intensification,rotated,NE,25_0,0.0,0.0,20
intensification,rotated,NE,q90,0.6245530752148399,9.516373085969978,20
intensification,rotated,NE,q95,0.4547146467734703,6.93197527479334,20
intensification,rotated,NE,q99,0.28951917253387843,4.218494950375194,20
intensification,rotated,NW,15_6,0.3513591762247949,6.175287680400205,20
intensification,rotated,NW,20_0,0.019230769230769232,0.40816527880155123,20
intensification,rotated,NW,25_0,0.0,0.0,20
intensification,rotated,NW,q90,0.7613626126126126,11.611744002529184,20
intensification,rotated,NW,q95,0.6679562885445238,10.098922689395847,20
intensification,rotated,NW,q99,0.307976437976438,4.986902608223846,20
intensification,rotated,SE,15_6,0.21612988657359855,3.7080137890760367,20
intensification,rotated,SE,20_0,0.01201923076923077,0.24969976315131553,20
intensification,rotated,SE,25_0,0.0,0.0,20
intensification,rotated,SE,q90,0.6468054730554731,8.961056570628276,20
intensification,rotated,SE,q95,0.5332370557370558,7.2916063463723955,20
intensification,rotated,SE,q99,0.29331878177466414,3.971240954793946,20
intensification,rotated,SW,15_6,0.2358213153471774,4.227456941423389,20
intensification,rotated,SW,20_0,0.030288461538461542,0.6598583982541011,20
intensification,rotated,SW,25_0,0.0,0.0,20
intensification,rotated,SW,q90,0.7741506859153918,10.890769886443046,20
intensification,rotated,SW,q95,0.6053699109581463,8.620514025845216,20
intensification,rotated,SW,q99,0.29003712503712503,4.423740925894045,20
mature,fixed,NE,15_6,0.26506017426733536,4.724571181597124,17
mature,fixed,NE,20_0,0.058823529411764705,1.2687667148565156,17
mature,fixed,NE,25_0,0.0,0.0,17
mature,fixed,NE,q90,0.7734912146676853,11.695440881127078,17
mature,fixed,NE,q95,0.6546688605512135,9.943214367677669,17
mature,fixed,NE,q99,0.3038363171355498,4.991099150705418,17
mature,fixed,NW,15_6,0.16806722689075632,3.1461905310730933,17
mature,fixed,NW,20_0,0.058823529411764705,1.3225359199872984,17
mature,fixed,NW,25_0,0.0,0.0,17
mature,fixed,NW,q90,0.7136018286913428,10.235647866580535,17
mature,fixed,NW,q95,0.4512840101075395,6.683817090888092,17
mature,fixed,NW,q99,0.29411764705882354,4.4346829064015205,17
mature,fixed,SE,15_6,0.33066961455708255,6.020121838682873,17
mature,fixed,SE,20_0,0.036153389094565565,0.7572316745936073,17
mature,fixed,SE,25_0,0.0,0.0,17
mature,fixed,SE,q90,0.5813579713835468,9.477189633977833,17
mature,fixed,SE,q95,0.47593739025964094,7.90035506771077,17
